num_dc,num_retailers,random_seed,fixed_w,complete_column_count,cplex_status,cplex_objective,cplex_gap,cplex_wall_time_sec,bp_status,bp_objective,bp_gap,bp_wall_time_sec,absolute_objective_difference,relative_objective_difference,reference_solution_feasible,bp_solution_feasible,bp_cg_iterations,bp_branch_nodes,bp_processed_nodes,bp_pruned_nodes,bp_remaining_active_nodes,pair_valid,size_id
5,10,909,0.0,10180,OPTIMAL,295500.5914458076,0,0.039111661999999998,OPTIMAL_CERTIFIED,295500.59144580766,0,0.0021537230000000002,5.8207660913467407e-11,1.9697984572102698e-16,true,true,7,0,1,0,0,true,5x10
5,10,1010,0.0,10180,OPTIMAL,563143.53293455997,0,0.080219515000000005,OPTIMAL_CERTIFIED,563143.53293455997,0,0.0040783800000000004,0,0,true,true,9,0,1,0,0,true,5x10
5,10,101,0.4,10180,OPTIMAL,542229.44503875542,0,0.077805314,OPTIMAL_CERTIFIED,542229.44503875542,0,0.003681896,0,0,true,true,7,0,1,0,0,true,5x10
5,10,202,0.4,10180,OPTIMAL,593047.95847582212,0,0.076648723000000002,OPTIMAL_CERTIFIED,593047.95847582212,0,0.0065839929999999998,0,0,true,true,6,0,1,0,0,true,5x10
5,10,303,0.4,10180,OPTIMAL,636096.66775126813,0,0.066018231999999996,OPTIMAL_CERTIFIED,636096.66775126813,0,0.0043556519999999998,0,0,true,true,8,0,1,0,0,true,5x10
5,10,404,0.4,10180,OPTIMAL,514041.4009669341,0,0.045158810000000001,OPTIMAL_CERTIFIED,514041.4009669341,0,0.0027017170000000002,0,0,true,true,7,0,1,0,0,true,5x10
5,10,505,0.4,10180,OPTIMAL,490577.74775985861,0,0.046657840999999999,OPTIMAL_CERTIFIED,490577.74775985861,0,0.0017879479999999999,0,0,true,true,5,0,1,0,0,true,5x10
5,10,606,0.4,10180,OPTIMAL,815334.2240332698,0,0.091592541,OPTIMAL_CERTIFIED,815334.2240332698,0,0.0030120569999999998,0,0,true,true,5,0,1,0,0,true,5x10
5,10,707,0.4,10180,OPTIMAL,656957.13308782771,0,0.104554097,OPTIMAL_CERTIFIED,656957.13308782782,0,0.0061015219999999998,1.1641532182693481e-10,1.772038325845705e-16,true,true,10,0,1,0,0,true,5x10
5,10,808,0.4,10180,OPTIMAL,736490.24407943431,0,0.080010169000000006,OPTIMAL_CERTIFIED,736490.24407943431,0,0.0060352799999999996,0,0,true,true,10,0,1,0,0,true,5x10
5,10,909,0.4,10180,OPTIMAL,376559.73219569703,0,0.041917773999999998,OPTIMAL_CERTIFIED,376559.73219569703,0,0.002719029,0,0,true,true,6,0,1,0,0,true,5x10
5,10,1010,0.4,10180,OPTIMAL,614650.20564233162,0,0.096252615999999999,OPTIMAL_CERTIFIED,614650.20564233162,0,0.0052344180000000002,0,0,true,true,10,0,1,0,0,true,5x10
5,10,101,0.8,10180,OPTIMAL,468434.78104000178,0,0.113410855,OPTIMAL_CERTIFIED,468434.78104000178,0,0.0079707830000000004,0,0,true,true,9,0,1,0,0,true,5x10
5,10,202,0.8,10180,OPTIMAL,492361.60499760078,0,0.11842211499999999,OPTIMAL_CERTIFIED,492361.60499760078,0,0.0049306710000000002,0,0,true,true,6,0,1,0,0,true,5x10
5,10,303,0.8,10180,OPTIMAL,533532.33318949258,0,0.076176578999999994,OPTIMAL_CERTIFIED,533532.33318949258,0,0.0082121039999999996,0,0,true,true,10,0,1,0,0,true,5x10
5,10,404,0.8,10180,OPTIMAL,474825.75808514579,0,0.078073112,OPTIMAL_CERTIFIED,474825.75808514585,0,0.011446146000000001,5.8207660913467407e-11,1.225874121661058e-16,true,true,14,0,1,0,0,true,5x10
5,10,505,0.8,10180,OPTIMAL,427597.75838881673,0,0.054413140999999998,OPTIMAL_CERTIFIED,427597.75838881673,0,0.0043650759999999999,0,0,true,true,7,0,1,0,0,true,5x10
5,10,606,0.8,10180,OPTIMAL,722481.25551234675,0,0.13766144599999999,OPTIMAL_CERTIFIED,722481.25551234675,0,0.0065269209999999998,0,0,true,true,7,0,1,0,0,true,5x10
5,10,707,0.8,10180,OPTIMAL,564247.76086563012,0,0.097935640000000004,OPTIMAL_CERTIFIED,564247.76086563012,0,0.013197258,0,0,true,true,15,0,1,0,0,true,5x10
5,10,808,0.8,10180,OPTIMAL,679510.71440003486,0,0.094888243999999997,OPTIMAL_CERTIFIED,679510.71440003486,0,0.010714033,0,0,true,true,14,0,1,0,0,true,5x10
5,10,909,0.8,10180,OPTIMAL,339702.60414331511,0,0.080775606,OPTIMAL_CERTIFIED,339702.60414331511,0,0.0051375709999999996,0,0,true,true,7,0,1,0,0,true,5x10
5,10,1010,0.8,10180,OPTIMAL,550815.78052381997,0,0.076684873000000001,OPTIMAL_CERTIFIED,550815.78052381997,0,0.010514525,0,0,true,true,13,0,1,0,0,true,5x10
