distance_km,seed,output_dir,validation_status,outer_status,final_inner_bp_status,integer_solution,relative_gap,termination_reason,wall_time_sec,ga_generations,actual_bp_calls,fitness_cache_hits,cg_iterations,branch_nodes,num_open_dcs,open_dc_indices,open_dc_ids,num_served_markets,served_market_indices,served_market_ids,num_unserved_markets,unserved_market_indices,unserved_market_ids,mean_w_open_dcs,demand_weighted_mean_w,max_w,min_w,revenue,facility_fixed_cost,inventory_cost,supplier_dc_transport_cost,dc_market_transport_cost,total_transport_cost,investment_cost,carbon_trading_cost,reported_total_profit,recomputed_total_profit,objective_decomposition_error,facility_emission,inventory_emission,supplier_dc_transport_emission,dc_market_transport_emission,total_emission,emission_decomposition_error,carbon_quota,allowance_shortage,allowance_surplus,net_carbon_trading_cost,best_w
10,101,D10/seed_101,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.64237345700000004,11,257,73,1466,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,12,1;3;4;9;2;8;10;12;11;6;7;14,C02;C04;C05;M10;C03;M09;M11;M13;M12;C07;C08;M15,3,0;5;13,C01;C06;M14,0.0040729879439556863,0.0049482953687151575,0.57086999022482898,0,272126430,16748514.623655915,3979098.7781412564,47399344.495694987,29440892.585107584,76840237.080802575,103.60189296981866,-145.51759753415536,174587361.60127941,174587361.60127935,5.9604644775390625e-08,657.31182795698919,3.787053536792766,8464.3533569929605,5244.6318487900653,14370.084087276811,-1.8189894035458565e-12,14442.842886043889,0,72.758798767077678,-145.51759753415536,0.50048875855327468;0.0078201368523949169;0.0029325513196480938;0;0.0019550342130987292;0.57086999022482898;0.00097751710654936461;0.010752688172043012
10,202,D10/seed_202,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.63165365500000004,11,265,65,1530,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,12,1;3;4;9;2;8;10;12;11;6;7;14,C02;C04;C05;M10;C03;M09;M11;M13;M12;C07;C08;M15,3,0;5;13,C01;C06;M14,0.00097751710654936461,0.0017829496027962838,0.0078201368523949169,0,272126430,16748518.709677421,3979098.8018162688,47399400.981091432,29440932.159998082,76840333.141089514,13.277729185261181,-45.347614113925374,174587351.75545973,174587351.7554597,2.9802322387695312e-08,659.35483870967744,3.7988910229546531,8492.5960552145225,5264.4192940397716,14420.169078986926,0,14442.842886043889,0,22.673807056962687,-45.347614113925374,0.0078201368523949169;0.0039100684261974585;0;0.00097751710654936461;0;0;0.00097751710654936461;0
10,303,D10/seed_303,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.61086109300000002,11,265,65,1520,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,12,1;3;4;9;2;8;10;12;11;6;7;14,C02;C04;C05;M10;C03;M09;M11;M13;M12;C07;C08;M15,3,0;5;13,C01;C06;M14,0.0013033561420658195,0.0030897368750248612,0.0078201368523949169,0,272126430,16748518.279569892,3979098.7959269849,47399396.229273997,29440905.553195838,76840301.782469839,49.717541220309911,-77.142230598539754,174587347.11026418,174587347.11026415,2.9802322387695312e-08,659.13978494623655,3.7959463856860065,8490.2201464990831,5251.1158929136145,14404.271770744619,1.8189894035458565e-12,14442.842886043889,0,38.571115299269877,-77.142230598539754,0;0.0078201368523949169;0;0;0;0;0;0
10,404,D10/seed_404,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.68062191999999999,11,269,61,1543,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,12,1;3;4;9;2;8;10;12;11;6;7;14,C02;C04;C05;M10;C03;M09;M11;M13;M12;C07;C08;M15,3,0;5;13,C01;C06;M14,0.00032583903551645487,0.00046291463577145407,0.25024437927663734,0,272126430,16748519.569892474,3979098.8091372917,47399411.557886489,29440954.903354656,76840366.461241141,1.1230186693159512,-11.159926427517348,174587329.72248253,174587329.72248253,0,659.78494623655911,3.8025515280903535,8497.8844527425681,5275.7909723229131,14437.26292283013,0,14442.842886043889,0,5.5799632137586741,-11.159926427517348,0.25024437927663734;0.00097751710654936461;0;0;0;0.0078201368523949169;0.00097751710654936461;0
10,505,D10/seed_505,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.65203458299999995,11,279,51,1526,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,12,1;3;4;9;2;8;10;12;11;6;7;14,C02;C04;C05;M10;C03;M09;M11;M13;M12;C07;C08;M15,3,0;5;13,C01;C06;M14,0.0013033561420658195,0.0010209086975934995,0.0039100684261974585,0,272126430,16748518.279569894,3979098.8029784416,47399388.805093966,29440959.758195132,76840348.563289106,13.766869724370855,-30.354359901746648,174587336.27306494,174587336.27306491,2.9802322387695312e-08,659.13978494623655,3.7994721080710532,8486.5080564788914,5278.2183925598174,14427.665706093016,0,14442.842886043889,0,15.177179950873324,-30.354359901746648,0;0;0.0039100684261974585;0;0.0039100684261974585;0;0;0
10,606,D10/seed_606,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.640527709,11,267,63,1525,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,12,1;3;4;9;2;8;10;12;11;6;7;14,C02;C04;C05;M10;C03;M09;M11;M13;M12;C07;C08;M15,3,0;5;13,C01;C06;M14,0.0016291951775822744,0.0011067005376932449,0.19550342130987292,0,272126430,16748517.849462366,3979098.8015614329,47399384.472417884,29440950.530866496,76840335.00328438,27.051767471225133,-44.345889119846106,174587336.97969639,174587336.97969642,-2.9802322387695312e-08,658.92473118279565,3.798763605267772,8484.3417184486843,5273.60472824722,14420.669941483966,1.8189894035458565e-12,14442.842886043889,0,22.172944559923053,-44.345889119846106,0;0;0;0.0019550342130987292;0;0.19550342130987292;0;0.0078201368523949169
10,707,D10/seed_707,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.63083394699999995,11,271,59,1500,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,12,1;3;4;9;2;8;10;12;11;6;7;14,C02;C04;C05;M10;C03;M09;M11;M13;M12;C07;C08;M15,3,0;5;13,C01;C06;M14,0.0039100684261974585,0.0035966255481281384,0.85239491691104596,0,272126430,16748514.838709677,3979098.7838365678,47399348.309686117,29440921.635809027,76840269.945495144,66.14667656158673,-112.43215589307147,174587365.97105414,174587365.97105411,2.9802322387695312e-08,657.41935483870964,3.7899011877731725,8466.2603525580253,5259.1571995128452,14386.626808097353,0,14442.842886043889,0,56.216077946535734,-112.43215589307147,0;0.0039100684261974585;0.0039100684261974585;0;0.0078201368523949169;0.85239491691104596;0;0.0078201368523949169
10,808,D10/seed_808,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.60980537199999996,11,258,72,1460,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,12,1;3;4;9;2;8;10;12;11;6;7;14,C02;C04;C05;M10;C03;M09;M11;M13;M12;C07;C08;M15,3,0;5;13,C01;C06;M14,0.0022808732486151841,0.0041864976972893981,0.87683284457478006,0,272126430,16748516.989247313,3979098.7874720977,47399370.257876329,29440901.629834618,76840271.887710944,60.523957704203262,-108.33576692739734,174587367.49738404,174587367.49738401,2.9802322387695312e-08,658.49462365591398,3.7917189490757401,8477.2344476696708,5249.1542123055315,14388.67500258019,1.8189894035458565e-12,14442.842886043889,0,54.167883463698672,-108.33576692739734,0.87683284457478006;0.0078201368523949169;0.0039100684261974585;0.0019550342130987292;0;0.070381231671554259;0;0
10,909,D10/seed_909,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.67467526200000005,11,284,46,1556,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,12,1;3;4;9;2;8;10;12;11;6;7;14,C02;C04;C05;M10;C03;M09;M11;M13;M12;C07;C08;M15,3,0;5;13,C01;C06;M14,0,0,0,0,272126430,16748520,3979098.812040051,47399415.143581741,29440962.044562746,76840377.18814449,0,-1.2800264812540263e-05,174587319.68558756,174587319.68558753,2.9802322387695312e-08,660,3.8040029052381081,8499.6773003709604,5279.3615763675607,14442.842879643757,3.637978807091713e-12,14442.842886043889,0,6.4001324062701315e-06,-1.2800264812540263e-05,0;0;0;0;0;0;0;0
10,1010,D10/seed_1010,PASS,HEURISTIC_BEST_FOUND,OPTIMAL,true,0,COMPLETED,0.60826006300000002,11,278,52,1564,0,6,1;2;3;4;6;7,C02;C03;C04;C05;C07;C08,12,1;3;4;9;2;8;10;12;11;6;7;14,C02;C04;C05;M10;C03;M09;M11;M13;M12;C07;C08;M15,3,0;5;13,C01;C06;M14,0.0043988269794721403,0.0045585217870837882,0.23851417399804498,0,272126430,16748514.193548389,3979098.7793169748,47399354.704523936,29440894.223538898,76840248.928062826,105.070257660222,-134.09926908824855,174587348.71458626,174587348.71458626,0,657.09677419354841,3.7876413949313972,8469.4577714652623,5245.4510644460242,14375.793251499765,1.8189894035458565e-12,14442.842886043889,0,67.049634544124274,-134.09926908824855,0.12512218963831867;0.0078201368523949169;0;0.00097751710654936461;0.011730205278592375;0.23851417399804498;0.00097751710654936461;0.0048875855327468231
