order_id,size_id,scenario_id,random_seed,delta,gamma,status,validation_status,completion_marker,output_directory,unique_key
74,10x30,DELTA_03000_GAMMA_030,606,3000,0.3,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_606/DELTA_03000_GAMMA_030,10x30|606|DELTA_03000_GAMMA_030
75,10x30,DELTA_03000_GAMMA_040,606,3000,0.4,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_606/DELTA_03000_GAMMA_040,10x30|606|DELTA_03000_GAMMA_040
76,10x30,DELTA_03000_GAMMA_060,606,3000,0.6,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_606/DELTA_03000_GAMMA_060,10x30|606|DELTA_03000_GAMMA_060
77,10x30,DELTA_03000_GAMMA_070,606,3000,0.7,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_606/DELTA_03000_GAMMA_070,10x30|606|DELTA_03000_GAMMA_070
78,10x30,DELTA_03000_GAMMA_090,606,3000,0.9,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_606/DELTA_03000_GAMMA_090,10x30|606|DELTA_03000_GAMMA_090
79,10x30,DELTA_00500_GAMMA_050,707,500,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_707/DELTA_00500_GAMMA_050,10x30|707|DELTA_00500_GAMMA_050
80,10x30,DELTA_01000_GAMMA_050,707,1000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_707/DELTA_01000_GAMMA_050,10x30|707|DELTA_01000_GAMMA_050
81,10x30,DELTA_02000_GAMMA_050,707,2000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_707/DELTA_02000_GAMMA_050,10x30|707|DELTA_02000_GAMMA_050
82,10x30,DELTA_03000_GAMMA_050,707,3000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_707/DELTA_03000_GAMMA_050,10x30|707|DELTA_03000_GAMMA_050
83,10x30,DELTA_05000_GAMMA_050,707,5000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_707/DELTA_05000_GAMMA_050,10x30|707|DELTA_05000_GAMMA_050
84,10x30,DELTA_10000_GAMMA_050,707,10000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_707/DELTA_10000_GAMMA_050,10x30|707|DELTA_10000_GAMMA_050
85,10x30,DELTA_15000_GAMMA_050,707,15000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_707/DELTA_15000_GAMMA_050,10x30|707|DELTA_15000_GAMMA_050
86,10x30,DELTA_03000_GAMMA_010,707,3000,0.1,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_707/DELTA_03000_GAMMA_010,10x30|707|DELTA_03000_GAMMA_010
87,10x30,DELTA_03000_GAMMA_030,707,3000,0.3,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_707/DELTA_03000_GAMMA_030,10x30|707|DELTA_03000_GAMMA_030
88,10x30,DELTA_03000_GAMMA_040,707,3000,0.4,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_707/DELTA_03000_GAMMA_040,10x30|707|DELTA_03000_GAMMA_040
89,10x30,DELTA_03000_GAMMA_060,707,3000,0.6,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_707/DELTA_03000_GAMMA_060,10x30|707|DELTA_03000_GAMMA_060
90,10x30,DELTA_03000_GAMMA_070,707,3000,0.7,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_707/DELTA_03000_GAMMA_070,10x30|707|DELTA_03000_GAMMA_070
91,10x30,DELTA_03000_GAMMA_090,707,3000,0.9,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_707/DELTA_03000_GAMMA_090,10x30|707|DELTA_03000_GAMMA_090
92,10x30,DELTA_00500_GAMMA_050,808,500,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_808/DELTA_00500_GAMMA_050,10x30|808|DELTA_00500_GAMMA_050
93,10x30,DELTA_01000_GAMMA_050,808,1000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_808/DELTA_01000_GAMMA_050,10x30|808|DELTA_01000_GAMMA_050
94,10x30,DELTA_02000_GAMMA_050,808,2000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_808/DELTA_02000_GAMMA_050,10x30|808|DELTA_02000_GAMMA_050
95,10x30,DELTA_03000_GAMMA_050,808,3000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_808/DELTA_03000_GAMMA_050,10x30|808|DELTA_03000_GAMMA_050
96,10x30,DELTA_05000_GAMMA_050,808,5000,0.5,COMPLETED,PASS,COMPLETED.ok,results/paper_experiments/part3_investment_cost/RQ2_delta_gamma/formal_130runs_resumable_20260802_1530/seed_808/DELTA_05000_GAMMA_050,10x30|808|DELTA_05000_GAMMA_050
