random_seed,scenario_id,screening_total_profit,formal_total_profit,profit_absolute_difference,screening_carbon_emission,formal_carbon_emission,carbon_emission_absolute_difference,screening_total_investment_cost,formal_total_investment_cost,investment_cost_absolute_difference,screening_net_carbon_trading_cost,formal_net_carbon_trading_cost,net_carbon_trading_cost_absolute_difference,screening_num_dc_open,formal_num_dc_open,num_dc_open_match,screening_open_dc_set,formal_open_dc_set,open_dc_set_match,screening_best_w,formal_best_w,best_w_exact_match,screening_instance_fingerprint,formal_instance_fingerprint,instance_fingerprint_match,comparison_status,notes
909,DELTA_03000_GAMMA_040,2669036.1804166,2669036.1804166,0.0,63508.3056484322,63508.3056484322,0.0,337647.015295975,337647.015295975,0.0,-72983.3887031355,-72983.3887031355,0.0,9,9,True,0;1;3;4;5;6;7;8;9,0;1;3;4;5;6;7;8;9,True,0.967741935483871;0.899315738025415;0.740957966764418;0.724340175953079;0.458455522971652;0.955034213098729;0.748778103616813;0.36950146627566;0.539589442815249;0.987292277614858,0.967741935483871;0.899315738025415;0.740957966764418;0.724340175953079;0.458455522971652;0.955034213098729;0.748778103616813;0.36950146627566;0.539589442815249;0.987292277614858,True,348a377e01c2a1ee6d091dbdb4c1468daadc289769b681cd140014f77b8c6730,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
101,DELTA_03000_GAMMA_060,2270390.41224872,2270390.41224872,0.0,323954.464075531,323954.464075531,0.0,42947.8738449352,42947.8738449352,0.0,447908.928151062,447908.928151062,0.0,7,7,True,0;2;3;4;5;6;7,0;2;3;4;5;6;7,True,0.125122189638319;0.809384164222874;0.0625610948191593;0.119257086999022;0.0840664711632454;0.0869990224828935;0.0332355816226784;0.180840664711632;0.175953079178886;0.835777126099707,0.125122189638319;0.809384164222874;0.0625610948191593;0.119257086999022;0.0840664711632454;0.0869990224828935;0.0332355816226784;0.180840664711632;0.175953079178886;0.835777126099707,True,0287743ae3ddf05f3a33cb4be52aabfb263f61e076772c6a718c19983acac9cb,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
505,DELTA_03000_GAMMA_060,1829579.89396957,1829579.89396957,0.0,357045.733285055,357045.733285055,0.0,68344.1394132706,68344.1394132706,0.0,514091.466570109,514091.466570109,0.0,9,9,True,0;1;2;4;5;6;7;8;9,0;1;2;4;5;6;7;8;9,True,0.113391984359726;0.148582600195503;0.125122189638319;0.00782013685239492;0.140762463343109;0.132942326490714;0.234604105571848;0.132942326490714;0.112414467253177;0.133919843597263,0.113391984359726;0.148582600195503;0.125122189638319;0.00782013685239492;0.140762463343109;0.132942326490714;0.234604105571848;0.132942326490714;0.112414467253177;0.133919843597263,True,eacfcc9e4994181a4f26aefe4fee2e49141444901ce6927ca1be081939fb4a54,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
909,DELTA_03000_GAMMA_060,2198978.6380952,2198978.6380952,0.0,404555.041705744,404555.041705744,0.0,133642.124159877,133642.124159877,0.0,609110.083411488,609110.083411488,0.0,9,9,True,0;1;3;4;5;6;7;8;9,0;1;3;4;5;6;7;8;9,True,0.312805474095797;0.187683284457478;0.0156402737047898;0.203323558162268;0.173998044965787;0.159335288367546;0.0782013685239492;0.0899315738025415;0.0469208211143695;0.253176930596285,0.312805474095797;0.187683284457478;0.0156402737047898;0.203323558162268;0.173998044965787;0.159335288367546;0.0782013685239492;0.0899315738025415;0.0469208211143695;0.253176930596285,True,d824fa8c3ccba344e330bf68f47a7666f7e2ccdb0181cfe97aa9e476a2a63eef,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
101,DELTA_03000_GAMMA_070,2232858.88322458,2232858.88322458,0.0,359190.079646201,359190.079646201,0.0,9926.80163264562,9926.80163264562,0.0,518380.159292402,518380.159292402,0.0,7,7,True,0;2;3;4;5;6;7,0;2;3;4;5;6;7,True,0.0782013685239492;0.797653958944281;0.00782013685239492;0.0625610948191593;0.00586510263929619;0;0.0742913000977517;0.021505376344086;0.629521016617791;0.877810361681329,0.0782013685239492;0.797653958944281;0.00782013685239492;0.0625610948191593;0.00586510263929619;0;0.0742913000977517;0.021505376344086;0.629521016617791;0.877810361681329,True,a516a74f89cf00221e680b93653affa143ceeb4e7eac9259fb3205f276313fb3,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
505,DELTA_03000_GAMMA_070,1782609.76352038,1782609.76352038,0.0,397910.182241683,397910.182241683,0.0,33480.997211251,33480.997211251,0.0,595820.364483367,595820.364483367,0.0,9,9,True,0;1;2;4;5;6;7;8;9,0;1;2;4;5;6;7;8;9,True,0.0312805474095797;0.0957966764418377;0.0791788856304985;0;0;0.032258064516129;0.125122189638319;0.032258064516129;0.032258064516129;0.0175953079178886,0.0312805474095797;0.0957966764418377;0.0791788856304985;0;0;0.032258064516129;0.125122189638319;0.032258064516129;0.032258064516129;0.0175953079178886,True,d2ffdaaf7f56211599c69e9087811541a6ceb509b11a59b6d9ee6b9c7b84b734,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
909,DELTA_03000_GAMMA_070,2145340.33835815,2145340.33835815,0.0,479204.45530243,479204.45530243,0.0,37828.386093864,37828.386093864,0.0,758408.91060486,758408.91060486,0.0,9,9,True,0;1;3;4;5;6;7;8;9,0;1;3;4;5;6;7;8;9,True,0.0977517106549365;0.0361681329423265;0.0136852394916911;0.00488758553274682;0.00977517106549365;0.0312805474095797;0.0332355816226784;0.0381231671554252;0.0635386119257087;0.125122189638319,0.0977517106549365;0.0361681329423265;0.0136852394916911;0.00488758553274682;0.00977517106549365;0.0312805474095797;0.0332355816226784;0.0381231671554252;0.0635386119257087;0.125122189638319,True,536c69cdb868e719802225543f1c08cb4a36e996a6e9421fc82539abc8b41c3f,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
101,DELTA_03000_GAMMA_090,2223286.06245517,2223286.06245517,0.0,368432.198981702,368432.198981702,0.0,988.031033544368,988.031033544368,0.0,536864.397963404,536864.397963404,0.0,7,7,True,0;2;3;4;5;6;7,0;2;3;4;5;6;7,True,0;0;0;0.00782013685239492;0.00782013685239492;0.000977517106549365;0;0.00391006842619746;0;0,0;0;0;0.00782013685239492;0.00782013685239492;0.000977517106549365;0;0.00391006842619746;0;0,True,e4c269978e2e219a0e005347255ae375ac7559bd52dd9973c3286f19a7ba7a87,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
505,DELTA_03000_GAMMA_090,1764905.9245094,1764905.9245094,0.0,418939.466857457,418939.466857457,0.0,1952.20693991636,1952.20693991636,0.0,637878.933714914,637878.933714914,0.0,9,9,True,0;1;2;4;5;6;7;8;9,0;1;2;4;5;6;7;8;9,True,0.00195503421309873;0;0.00391006842619746;0;0;0;0;0.00586510263929619;0;0.0156402737047898,0.00195503421309873;0;0.00391006842619746;0;0;0;0;0.00586510263929619;0;0.0156402737047898,True,4dfd3966e0049d3a6811f5eba954f877d69383f1e6c24f5a48e84e25a081ec1f,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
909,DELTA_03000_GAMMA_090,2127277.42956445,2127277.42956445,0.0,446313.943812353,446313.943812353,0.0,1834.96532564521,1834.96532564521,0.0,692627.887624705,692627.887624705,0.0,9,9,True,0;1;3;4;5;6;7;8;9,0;1;3;4;5;6;7;8;9,True,0.0117302052785924;0;0.570869990224829;0.0117302052785924;0;0;0;0.00586510263929619;0.00391006842619746;0,0.0117302052785924;0;0.570869990224829;0.0117302052785924;0;0;0;0.00586510263929619;0.00391006842619746;0,True,2916683ee300e6f66e9d98c26a3db895969aabea5e096e9f7327075447dab6ec,646508b8480eb597d4ae8ee4abfe1bbd0e2d8b6e2253e8023b1a35900ab4efb8,False,COMPARED_REAL_FIELDS,"raw result.csv, report.txt, instance_fingerprint.txt from both task directories"
