arc_type,origin_id,destination_id,is_intracity,physical_distance_km,transport_rate_cny_per_tonne_km,transport_cost_coefficient_cny_per_tonne,transport_emission_factor_tco2e_per_tonne_km,transport_emission_coefficient_tco2e_per_tonne,solver_cost_field,solver_emission_field,mapping_status
dc_market,C07,M15,False,484.527,0.39,188.96553,6.996e-05,0.03389750892,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C08,C01,False,97.311,0.39,37.95129000000001,6.996e-05,0.006807877560000001,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C08,C02,False,283.339,0.39,110.50221,6.996e-05,0.01982239644,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C08,C03,False,72.6,0.39,28.314,6.996e-05,0.005079096,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C08,C04,False,120.29,0.39,46.91310000000001,6.996e-05,0.0084154884,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C08,C05,False,84.99,0.39,33.1461,6.996e-05,0.0059459004,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C08,C06,False,148.033,0.39,57.73287,6.996e-05,0.01035638868,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C08,C07,False,423.098,0.39,165.00822000000002,6.996e-05,0.02959993608,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C08,C08,True,10.0,0.39,3.9000000000000004,6.996e-05,0.0006996,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C08,M09,False,161.086,0.39,62.82354000000001,6.996e-05,0.011269576560000001,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C08,M10,False,164.042,0.39,63.976380000000006,6.996e-05,0.011476378320000001,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C08,M11,False,227.387,0.39,88.68093,6.996e-05,0.01590799452,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C08,M12,False,97.125,0.39,37.878750000000004,6.996e-05,0.006794865,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C08,M13,False,81.637,0.39,31.838430000000002,6.996e-05,0.00571132452,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C08,M14,False,283.657,0.39,110.62622999999999,6.996e-05,0.01984464372,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
dc_market,C08,M15,False,237.75,0.39,92.7225,6.996e-05,0.01663299,no_per_arc_cost_field,bb_ij,COST_BLOCKED_EMISSION_RESOLVED
