num_dc,num_retailers,random_seed,fixed_w,complete_column_count,column_enumeration_time_sec,full_master_build_time_sec,cplex_optimization_time_sec,reference_validation_time_sec,reference_total_wall_time_sec,reference_peak_rss_kb,bp_initialization_time_sec,bp_solve_time_sec,bp_validation_time_sec,bp_total_wall_time_sec,bp_peak_rss_kb,bp_initial_columns,bp_generated_columns,bp_final_master_columns,cplex_status,cplex_objective,cplex_gap,bp_status,bp_objective,bp_gap,absolute_objective_difference,relative_objective_difference,reference_solution_feasible,bp_solution_feasible,bp_cg_iterations,bp_branch_nodes,bp_processed_nodes,bp_pruned_nodes,bp_remaining_active_nodes,pair_valid,size_id
3,5,101,0.4,171,0.00062215199999999995,0.017618029,0.0059882319999999996,1.3120000000000001e-06,0.024488739999999998,15612,0.000123569,0.0026505399999999998,9.78e-07,0.0027750869999999999,15612,UNKNOWN,6,UNKNOWN,OPTIMAL,280693.0990360002,0,OPTIMAL_CERTIFIED,280693.0990360002,0,0,0,true,true,4,0,1,0,0,true,3x5
3,5,202,0.4,171,0.00061710599999999997,0.020225528999999999,0.0086648869999999996,1.7179999999999999e-06,0.029858340000000001,16200,0.00014075599999999999,0.0031207399999999999,9.9399999999999993e-07,0.0032624899999999998,16200,UNKNOWN,13,UNKNOWN,OPTIMAL,272697.14128961076,0,OPTIMAL_CERTIFIED,272697.14128961076,0,0,0,true,true,4,0,1,0,0,true,3x5
3,5,303,0.4,171,0.00063381199999999998,0.020890770999999999,0.0051976139999999997,1.618e-06,0.026982857999999998,15688,0.00012362000000000001,0.0027896100000000001,1.167e-06,0.002914397,15688,UNKNOWN,10,UNKNOWN,OPTIMAL,100238.019315233,0,OPTIMAL_CERTIFIED,100238.019315233,0,0,0,true,true,4,0,1,0,0,true,3x5
3,5,404,0.4,171,0.00064055999999999998,0.001134672,0.0049770480000000004,1.28e-06,0.0069949980000000005,14956,0.00010555100000000001,0.0013763060000000001,6.6700000000000003e-07,0.001482524,14956,UNKNOWN,4,UNKNOWN,OPTIMAL,227194.55501514772,0,OPTIMAL_CERTIFIED,227194.55501514772,0,0,0,true,true,3,0,1,0,0,true,3x5
3,5,505,0.4,171,0.00062360499999999995,0.018978966999999999,0.004666005,1.4190000000000001e-06,0.024523982999999999,15800,0.000109152,0.0017972940000000001,9.7300000000000004e-07,0.001907419,15800,UNKNOWN,3,UNKNOWN,OPTIMAL,39294.306345919562,0,OPTIMAL_CERTIFIED,39294.306345919562,0,0,0,true,true,2,0,1,0,0,true,3x5
3,5,606,0.4,171,0.00071682899999999999,0.018254299000000002,0.0075590800000000001,1.3400000000000001e-06,0.026814042999999999,15612,0.00012531599999999999,0.0028689129999999998,9.6500000000000008e-07,0.0029951939999999996,15612,UNKNOWN,13,UNKNOWN,OPTIMAL,253091.71363996452,0,OPTIMAL_CERTIFIED,253091.71363996452,0,0,0,true,true,4,0,1,0,0,true,3x5
3,5,707,0.4,171,0.00039324599999999998,0.019093375999999999,0.00667098,1.35e-06,0.026414912000000002,16220,0.000153261,0.0031535819999999998,7.9800000000000003e-07,0.0033076410000000001,16220,UNKNOWN,18,UNKNOWN,OPTIMAL,298939.56077459879,0,OPTIMAL_CERTIFIED,298939.56077459879,0,0,0,true,true,5,0,1,0,0,true,3x5
3,5,808,0.4,171,0.000468531,0.00089730799999999998,0.0046625879999999996,9.7600000000000006e-07,0.0062056289999999998,16448,7.3281999999999994e-05,0.0022060600000000001,6.6199999999999997e-07,0.002280004,16448,UNKNOWN,13,UNKNOWN,OPTIMAL,276062.47164837003,0,OPTIMAL_CERTIFIED,276062.47164837003,0,0,0,true,true,5,0,1,0,0,true,3x5
3,5,909,0.4,171,0.00061587800000000004,0.001160342,0.0052457340000000002,1.429e-06,0.0072699890000000001,15648,0.000111323,0.0013119010000000001,1.147e-06,0.001424371,15648,UNKNOWN,1,UNKNOWN,OPTIMAL,147717.11313055945,0,OPTIMAL_CERTIFIED,147717.11313055945,0,0,0,true,true,2,0,1,0,0,true,3x5
3,5,1010,0.4,171,0.00042220000000000002,0.00081452599999999999,0.004716858,1.3740000000000001e-06,0.0062947440000000006,16676,0.00011343,0.002998985,9.3500000000000005e-07,0.00311335,16676,UNKNOWN,13,UNKNOWN,OPTIMAL,154763.00839850394,0,OPTIMAL_CERTIFIED,154763.00839850394,0,0,0,true,true,4,0,1,0,0,true,3x5
